ee_mean
40.0
37.0
28.0
21.0
27.9
91.47
93.6
90.7
78.06
65.9
94.2
84.33
69.14
93.94
31.79
40.04
50.81
16.36
18.77
21.03
74.0
90.88
99.51
89.98
38.6
42.6
73.7
62.8
87.0
90.0
57.9
62.7
72.5
68.1
85.1
59.3
84.2
76.2
82.2
11.7
15.5
21.9
26.37
43.25
44.67
15.43
6.25
13.28
6.12
36.09
19.65
12.29
13.53
26.96
25.81
5.2
30.1
80.99
25.82
34.19
35.9
32.31
43.14
99.33
99.56
11.7
15.5
4.43
4.35
2.42
6.04
3.12
52.37
36.4
39.93
38.2
21.9
72.8
73.3
73.0
86.4
94.2
86.2
48.9
62.3
