n_lipids,api_to_lipid_ratio,lipid_DPPC_fraction,lipid_DSPC_fraction,lipid_CHEMS_fraction,lipid_DMPC_fraction,lipid_DAPC_fraction,lipid_Chol_fraction,lipid_Soy PC_fraction,lipid_Egg PC_fraction,lipid_DOTAP_fraction,lipid_DOPE_fraction,lipid_DPPG_fraction,api_molecular_weight,api_rotatable_bond_count,api_hbond_acceptor_count,api_hbond_donor_count,api_heavy_atom_count,api_tpsa,api_complexity,api_molecular_weight_missing,api_rotatable_bond_count_missing,api_hbond_acceptor_count_missing,api_hbond_donor_count_missing,api_heavy_atom_count_missing,api_tpsa_missing,api_complexity_missing,lipid_1_fraction,lipid_2_fraction,lipid_3_fraction,lipid_1_molecular_weight,lipid_1_rotatable_bond_count,lipid_1_hbond_acceptor_count,lipid_1_hbond_donor_count,lipid_1_logp,lipid_1_tpsa,lipid_1_formal_charge,lipid_1_number_of_tails,lipid_1_tail_length_mean,lipid_1_tail_length_max,lipid_1_avg_double_bonds_per_tail,lipid_1_is_mixture,lipid_1_has_tails,lipid_1_is_zwitterionic,lipid_1_is_cationic,lipid_1_is_anionic,lipid_1_is_phospholipid,lipid_1_is_sterol,lipid_1_is_cationic_lipid,lipid_2_missing,lipid_2_molecular_weight,lipid_2_rotatable_bond_count,lipid_2_hbond_acceptor_count,lipid_2_hbond_donor_count,lipid_2_logp,lipid_2_tpsa,lipid_2_formal_charge,lipid_2_number_of_tails,lipid_2_tail_length_mean,lipid_2_tail_length_max,lipid_2_avg_double_bonds_per_tail,lipid_2_is_mixture,lipid_2_has_tails,lipid_2_is_zwitterionic,lipid_2_is_cationic,lipid_2_is_anionic,lipid_2_is_phospholipid,lipid_2_is_sterol,lipid_2_is_cationic_lipid,lipid_3_missing,lipid_3_molecular_weight,lipid_3_rotatable_bond_count,lipid_3_hbond_acceptor_count,lipid_3_hbond_donor_count,lipid_3_logp,lipid_3_tpsa,lipid_3_formal_charge,lipid_3_number_of_tails,lipid_3_tail_length_mean,lipid_3_tail_length_max,lipid_3_avg_double_bonds_per_tail,lipid_3_is_mixture,lipid_3_has_tails,lipid_3_is_zwitterionic,lipid_3_is_cationic,lipid_3_is_anionic,lipid_3_is_phospholipid,lipid_3_is_sterol,lipid_3_is_cationic_lipid,lipid_max_logp,lipid_min_logp,lipid_weighted_logp,lipid_weighted_hbond_donors,lipid_1_2_logp_diff,lipid_1_3_logp_diff,lipid_1_2_tail_diff,api_lipid_1_hbond_donor_diff
2,0.06000916170407696,0.0,0.2899679340357306,0.0,0.0,0.0,0.7100320659642694,0.0,0.0,0.0,0.0,0.0,381.4,3.0,7.0,1.0,26.0,86.4,577.0,0,0,0,0,0,0,0,0.2899679340357306,0.7100320659642694,0.0,790.1,44.0,8.0,0.0,15.6,111.0,0.0,2.0,18.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,15.6,8.7,10.700778744846541,0.7100320659642694,6.9,,18.0,1.0
2,0.00013,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.5,0.5,0.0,486.7,10.0,4.0,1.0,8.5,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,10.6,8.5,9.55,1.5,-2.0999999999999996,,-18.0,
2,5.2e-05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.2,0.8,0.0,486.7,10.0,4.0,1.0,8.5,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,10.6,8.5,10.18,1.8,-2.0999999999999996,,-18.0,
2,5.2e-05,0.0,0.0,0.28572,0.0,0.0,0.0,0.0,0.0,0.0,0.71428,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.28572,0.71428,0.0,486.7,10.0,4.0,1.0,8.5,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,10.6,8.5,9.999987999999998,1.71428,-2.0999999999999996,,-18.0,
1,0.02764227642276423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,1.0,0.0,0.0,677.9,36.0,8.0,0.0,11.3,111.0,0.0,2.0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11.3,11.3,11.3,0.0,,,,
2,0.023665893271461718,0.0,0.0,0.0,0.665893271461717,0.0,0.33410672853828305,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.665893271461717,0.33410672853828305,0.0,677.9,36.0,8.0,0.0,11.3,111.0,0.0,2.0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,11.3,8.7,10.431322505800464,0.33410672853828305,2.6000000000000014,,14.0,
2,0.029565217391304348,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.6666666666666666,0.3333333333333333,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,11.899999999999999,0.3333333333333333,4.800000000000001,,16.0,
3,0.007293333333333334,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,1144.4,10.0,22.0,9.0,76.0,495.0,2180.0,0,0,0,0,0,0,0,0.375,0.375,0.25,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,663.1,37.0,4.0,0.0,15.1,52.6,1.0,2.0,18.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,15.1,10.6,12.8125,0.75,2.9000000000000004,-1.5999999999999996,-2.0,9.0
3,0.007293333333333334,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,1144.4,10.0,22.0,9.0,76.0,495.0,2180.0,0,0,0,0,0,0,0,0.375,0.375,0.25,790.1,44.0,8.0,0.0,15.6,111.0,0.0,2.0,18.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,663.1,37.0,4.0,0.0,15.1,52.6,1.0,2.0,18.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,15.6,10.6,13.6,0.75,5.0,0.5,0.0,9.0
3,0.007293333333333334,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,0.375,0.0,1144.4,10.0,22.0,9.0,76.0,495.0,2180.0,0,0,0,0,0,0,0,0.375,0.375,0.25,830.1,40.0,8.0,0.0,11.8,111.0,0.0,2.0,20.0,20.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,663.1,37.0,4.0,0.0,15.1,52.6,1.0,2.0,18.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,15.1,10.6,12.175,0.75,1.200000000000001,-3.299999999999999,2.0,9.0
